"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"
109.131	79.2867	109.131	77.5437	109.131	78.6562	109.131	78.3345	109.131	77.8188	109.131	78.4071
112.793	79.4991	112.793	77.7206	112.793	78.8594	112.793	78.5251	112.793	78.0032	112.793	78.6024
116.455	79.7069	116.455	77.9123	116.455	79.0673	116.455	78.7137	116.455	78.1604	116.455	78.7965
120.85	79.8835	120.85	78.1155	120.85	79.2614	120.85	78.8941	120.85	78.3429	120.85	78.9826
125.244	79.997	125.244	78.2103	125.244	79.3698	125.244	78.997	125.244	78.4676	125.244	79.09
129.639	80.2179	129.639	78.4168	129.639	79.5947	129.639	79.2087	129.639	78.6326	129.639	79.3017
134.033	80.3203	134.033	78.5343	134.033	79.7018	134.033	79.3185	134.033	78.7632	134.033	79.4125
138.428	80.5229	138.428	78.6956	138.428	79.8906	138.428	79.4873	138.428	78.9369	138.428	79.5916
143.555	80.7714	143.555	78.86	143.555	80.1164	143.555	79.6798	143.555	79.1101	143.555	79.7972
148.682	80.9126	148.682	79.0179	148.682	80.2823	148.682	79.826	148.682	79.236	148.682	79.9475
153.809	81.1829	153.809	79.3156	153.809	80.5796	153.809	80.0984	153.809	79.416	153.809	80.2203
159.668	81.3009	159.668	79.4175	159.668	80.6884	159.668	80.2088	159.668	79.5661	159.668	80.3344
164.795	81.4518	164.795	79.5327	164.795	80.8338	164.795	80.3501	164.795	79.6806	164.795	80.4732
170.654	81.3883	170.654	79.5454	170.654	80.7938	170.654	80.2988	170.654	79.7141	170.654	80.4377
176.514	81.4988	176.514	79.6056	176.514	80.8957	176.514	80.3638	176.514	79.7676	176.514	80.5185
183.105	81.6012	183.105	79.6562	183.105	80.9999	183.105	80.423	183.105	79.7448	183.105	80.5885
189.697	81.7082	189.697	79.7937	189.697	81.1247	189.697	80.5382	189.697	79.8139	189.697	80.7031
196.289	81.6944	196.289	79.843	196.289	81.1366	196.289	80.5344	196.289	79.8931	196.289	80.7154
202.881	81.768	202.881	79.8849	202.881	81.2229	202.881	80.5612	202.881	79.8683	202.881	80.7632
