"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"
82.7637	77.6505	82.7637	77.6214	82.7637	77.3694	82.7637	77.091	82.7637	41.4947	82.7637	41.2163	82.7637	40.9643
85.6934	77.8207	85.6934	77.7886	85.6934	77.5052	85.6934	77.1491	85.6934	41.6038	85.6934	41.2477	85.6934	40.9643
88.623	77.4955	88.623	77.4779	88.623	77.3086	88.623	77.1681	88.623	41.274	88.623	41.1336	88.623	40.9643
91.5527	77.4594	91.5527	77.4352	91.5527	77.2589	91.5527	77.1572	91.5527	41.2423	91.5527	41.1406	91.5527	40.9643
94.4824	78.0853	94.4824	78.0513	94.4824	77.7853	94.4824	77.5147	94.4824	41.5009	94.4824	41.2303	94.4824	40.9643
98.1445	78.1954	98.1445	78.1637	98.1445	77.896	98.1445	77.5887	98.1445	41.5393	98.1445	41.232	98.1445	40.9643
101.807	78.3435	101.807	78.3117	101.807	78.0544	101.807	77.7819	101.807	41.4941	101.807	41.2215	101.807	40.9643
105.469	78.4808	105.469	78.4487	105.469	78.193	105.469	77.9286	105.469	41.4844	105.469	41.22	105.469	40.9643
109.131	78.6986	109.131	78.6656	109.131	78.4071	109.131	78.1326	109.131	41.4972	109.131	41.2228	109.131	40.9643
112.793	78.9037	112.793	78.8691	112.793	78.6024	112.793	78.3216	112.793	41.5117	112.793	41.2309	112.793	40.9643
116.455	79.1141	116.455	79.0775	116.455	78.7965	116.455	78.4951	116.455	41.5467	116.455	41.2453	116.455	40.9643
120.85	79.3103	120.85	79.2718	120.85	78.9826	120.85	78.6713	120.85	41.5648	120.85	41.2535	120.85	40.9643
125.244	79.4198	125.244	79.3804	125.244	79.09	125.244	78.7863	125.244	41.5583	125.244	41.2547	125.244	40.9643
129.639	79.6458	129.639	79.6054	129.639	79.3017	129.639	78.971	129.639	41.5987	129.639	41.268	129.639	40.9643
134.033	79.7532	134.033	79.7126	134.033	79.4125	134.033	79.0937	134.033	41.5832	134.033	41.2644	134.033	40.9643
138.428	79.9452	138.428	79.9021	138.428	79.5916	138.428	79.271	138.428	41.5954	138.428	41.2747	138.428	40.9643
143.555	80.1757	143.555	80.1288	143.555	79.7972	143.555	79.4581	143.555	41.635	143.555	41.2958	143.555	40.9643
148.682	80.344	148.682	80.2949	148.682	79.9475	148.682	79.5841	148.682	41.6751	148.682	41.3116	148.682	40.9643
153.809	80.6434	153.809	80.5923	153.809	80.2203	153.809	79.7932	153.809	41.7634	153.809	41.3363	153.809	40.9643
159.668	80.7527	159.668	80.7013	159.668	80.3344	159.668	79.9294	159.668	41.7362	159.668	41.3312	159.668	40.9643
164.795	80.8986	164.795	80.8467	164.795	80.4732	164.795	80.0499	164.795	41.7611	164.795	41.3377	164.795	40.9643
170.654	80.8618	170.654	80.8073	170.654	80.4377	170.654	80.0535	170.654	41.7181	170.654	41.3339	170.654	40.9643
176.514	80.9687	176.514	80.9101	176.514	80.5185	176.514	80.1166	176.514	41.7578	176.514	41.356	176.514	40.9643
183.105	81.0779	183.105	81.0152	183.105	80.5885	183.105	80.1297	183.105	41.8498	183.105	41.3909	183.105	40.9643
189.697	81.2037	189.697	81.14	189.697	80.7031	189.697	80.2127	189.697	41.8916	189.697	41.4012	189.697	40.9643
196.289	81.2198	196.289	81.1526	196.289	80.7154	196.289	80.2541	196.289	41.8628	196.289	41.4015	196.289	40.9643
202.881	81.3132	202.881	81.24	202.881	80.7632	202.881	80.2441	202.881	41.9602	202.881	41.4411	202.881	40.9643
210.205	81.3541	210.205	81.2798	210.205	80.7934	210.205	80.2643	210.205	41.9798	210.205	41.4507	210.205	40.9643
217.529	81.3272	217.529	81.2461	217.529	80.7338	217.529	80.2076	217.529	42.0028	217.529	41.4766	217.529	40.9643
225.586	81.4945	225.586	81.4069	225.586	80.8395	225.586	80.2083	225.586	42.1628	225.586	41.5316	225.586	40.9643
232.91	81.6631	232.91	81.5709	232.91	80.9513	232.91	80.216	232.91	42.3191	232.91	41.5838	232.91	40.9643
241.699	81.6952	241.699	81.6066	241.699	80.9818	241.699	80.1756	241.699	42.3953	241.699	41.5891	241.699	40.9643
249.756	81.7756	249.756	81.6844	249.756	81.036	249.756	80.2015	249.756	42.4472	249.756	41.6127	249.756	40.9643
258.545	81.8602	258.545	81.7706	258.545	81.1359	258.545	80.3097	258.545	42.4252	258.545	41.599	258.545	40.9643
268.066	81.6495	268.066	81.5594	268.066	80.9182	268.066	80.0861	268.066	42.4376	268.066	41.6054	268.066	40.9643
277.588	81.8501	277.588	81.7445	277.588	81.0542	277.588	80.2561	277.588	42.4527	277.588	41.6546	277.588	40.9643
287.109	81.9619	287.109	81.8637	287.109	81.165	287.109	80.2407	287.109	42.5873	287.109	41.6629	287.109	40.9643
297.363	81.8516	297.363	81.7501	297.363	81.0425	297.363	80.0786	297.363	42.6357	297.363	41.6719	297.363	40.9643
307.617	81.8351	307.617	81.7291	307.617	80.9994	307.617	80.0447	307.617	42.6487	307.617	41.694	307.617	40.9643
318.604	81.8972	318.604	81.7881	318.604	80.9979	318.604	79.8916	318.604	42.8607	318.604	41.7545	318.604	40.9643
329.59	81.7277	329.59	81.6307	329.59	80.8898	329.59	79.8008	329.59	42.7942	329.59	41.7051	329.59	40.9643
341.309	81.4312	341.309	81.3302	341.309	80.5858	341.309	79.5452	341.309	42.7493	341.309	41.7086	341.309	40.9643
353.76	81.5905	353.76	81.4838	353.76	80.6882	353.76	79.5163	353.76	42.9318	353.76	41.7599	353.76	40.9643
366.211	81.8204	366.211	81.703	366.211	80.8271	366.211	79.5409	366.211	43.1263	366.211	41.8401	366.211	40.9643
378.662	81.9353	378.662	81.8413	378.662	81.037	378.662	79.6575	378.662	43.1481	378.662	41.7686	378.662	40.9643
392.578	81.4178	392.578	81.3468	392.578	80.6687	392.578	79.3653	392.578	42.9458	392.578	41.6423	392.578	40.9643
405.762	81.3172	405.762	81.2173	405.762	80.4576	405.762	79.2142	405.762	42.9674	405.762	41.724	405.762	40.9643
420.41	81.3684	420.41	81.3247	420.41	80.7119	420.41	79.3074	420.41	42.9815	420.41	41.577	420.41	40.9643
435.059	80.8074	435.059	80.7361	435.059	80.1815	435.059	79.0965	435.059	42.6039	435.059	41.5189	435.059	40.9643
450.439	81.105	450.439	80.9677	450.439	80.1986	450.439	79.1073	450.439	42.8246	450.439	41.7333	450.439	40.9643
466.553	81.0591	466.553	80.914	466.553	80.0848	466.553	78.9977	466.553	42.8807	466.553	41.7935	466.553	40.9643
482.666	81.2039	482.666	81.0509	482.666	80.0746	482.666	78.7609	482.666	43.2543	482.666	41.9406	482.666	40.9643
500.244	80.8726	500.244	80.7196	500.244	79.8062	500.244	78.459	500.244	43.2248	500.244	41.8776	500.244	40.9643
517.822	80.663	517.822	80.468	517.822	79.3015	517.822	77.9911	517.822	43.4412	517.822	42.1307	517.822	40.9643
536.133	81.0198	536.133	80.8428	536.133	79.5313	536.133	77.7307	536.133	44.0763	536.133	42.2758	536.133	40.9643
554.443	80.5204	554.443	80.3819	554.443	79.3595	554.443	77.5256	554.443	43.8205	554.443	41.9867	554.443	40.9643
574.219	80.6598	574.219	80.4891	574.219	79.3475	574.219	77.445	574.219	44.0084	574.219	42.1059	574.219	40.9643
594.727	80.8607	594.727	80.67	594.727	79.3824	594.727	77.3189	594.727	44.3154	594.727	42.2519	594.727	40.9643
615.234	80.8292	615.234	80.7175	615.234	79.6569	615.234	77.5232	615.234	44.1585	615.234	42.0248	615.234	40.9643
637.207	80.3286	637.207	80.2504	637.207	79.4413	637.207	77.577	637.207	43.6377	637.207	41.7733	637.207	40.9643
659.912	79.8393	659.912	79.7496	659.912	79.1775	659.912	77.6404	659.912	43.0735	659.912	41.5364	659.912	40.9643
683.35	80.4436	683.35	80.2741	683.35	79.5519	683.35	77.9357	683.35	43.3027	683.35	41.6864	683.35	40.9643
706.787	80.7537	706.787	80.5186	706.787	79.6579	706.787	78.148	706.787	43.335	706.787	41.825	706.787	40.9643
