"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.2	V at 	1	m]"
307.617	81.7044	307.617	80.6524	307.617	79.0531	307.617	80.1498
318.604	81.7632	318.604	80.6435	318.604	78.6395	318.604	79.9991
329.59	81.6082	329.59	80.5823	329.59	78.4813	329.59	79.8734
341.309	81.307	341.309	80.2666	341.309	78.3139	341.309	79.6192
353.76	81.4604	353.76	80.3648	353.76	78.2099	353.76	79.6557
366.211	81.6773	366.211	80.4389	366.211	78.244	366.211	79.7574
378.662	81.8196	378.662	80.7122	378.662	78.07	378.662	79.8287
392.578	81.3295	392.578	80.45	392.578	77.6383	392.578	79.4378
405.762	81.1933	405.762	80.137	405.762	77.6822	405.762	79.305
420.41	81.3129	420.41	80.5787	420.41	76.9191	420.41	79.2432
435.059	80.7213	435.059	80.1131	435.059	77.2463	435.059	79.0017
450.439	80.9389	450.439	79.9399	450.439	77.7262	450.439	79.1802
466.553	80.8823	466.553	79.7279	466.553	77.8978	466.553	79.1614
482.666	81.0158	482.666	79.5712	482.666	77.3372	482.666	78.9388
500.244	80.6835	500.244	79.3294	500.244	76.8842	500.244	78.5924
517.822	80.4264	517.822	78.6453	517.822	76.5327	517.822	78.1649
536.133	80.8077	536.133	78.829	536.133	75.8733	536.133	78.1317
554.443	80.3522	554.443	78.9311	554.443	75.1154	554.443	77.7774
574.219	80.4544	574.219	78.8596	574.219	74.8624	574.219	77.7174
594.727	80.6314	594.727	78.7632	594.727	74.3908	594.727	77.6257
615.234	80.6959	615.234	79.3094	615.234	73.4259	615.234	77.6443
637.207	80.2417	637.207	79.392	637.207	73.7451	637.207	77.5745
659.912	79.7391	659.912	79.3171	659.912	74.648	659.912	77.5919
683.35	80.2422	683.35	79.5533	683.35	75.492	683.35	78.0831
706.787	80.4631	706.787	79.345	706.787	76.166	706.787	78.2834
731.689	78.1783	731.689	76.6995	731.689	73.797	731.689	75.8462
758.057	74.4632	758.057	71.2091	758.057	67.1469	758.057	70.7334
784.424	79.3816	784.424	76.363	784.424	71.9073	784.424	75.6907
812.256	80.2945	812.256	77.3527	812.256	73.072	812.256	76.6853
840.82	81.2474	840.82	78.0899	840.82	73.4512	840.82	77.4422
870.85	81.9804	870.85	78.6624	870.85	73.8495	870.85	78.0549
901.611	82.3959	901.611	79.2267	901.611	73.4902	901.611	78.3755
933.105	83.0199	933.105	79.7236	933.105	73.5626	933.105	78.8664
966.064	83.5533	966.064	80.2862	966.064	73.532	966.064	79.3268
999.756	83.2593	999.756	80.4944	999.756	73.1184	999.756	79.1977
1,034.91	82.8765	1,034.91	80.9427	1,034.91	73.5993	1,034.91	79.2588
1,071.53	82.6092	1,071.53	80.3438	1,071.53	73.2711	1,071.53	78.8498
1,109.62	82.7733	1,109.62	79.9833	1,109.62	72.9306	1,109.62	78.7424
1,148.44	82.4142	1,148.44	79.3372	1,148.44	72.1807	1,148.44	78.2261
1,189.45	82.3482	1,189.45	79.2226	1,189.45	72.3394	1,189.45	78.173
1,231.2	82.5825	1,231.2	79.0843	1,231.2	71.8561	1,231.2	78.1842
1,274.41	83.964	1,274.41	80.0719	1,274.41	73.2395	1,274.41	79.4353
1,319.82	83.7622	1,319.82	80.2757	1,319.82	72.5596	1,319.82	79.3122
1,365.97	83.7291	1,365.97	80.1891	1,365.97	72.4729	1,365.97	79.2546
1,414.31	83.1964	1,414.31	79.1527	1,414.31	71.1577	1,414.31	78.4718
1,464.11	82.5679	1,464.11	78.4884	1,464.11	70.6141	1,464.11	77.8401
1,515.38	82.006	1,515.38	77.9079	1,515.38	70.1191	1,515.38	77.2789
1,568.85	81.1654	1,568.85	76.6908	1,568.85	68.6535	1,568.85	76.2599
1,624.51	80.0092	1,624.51	75.503	1,624.51	67.1589	1,624.51	75.064
1,681.64	78.9079	1,681.64	74.4566	1,681.64	66.6192	1,681.64	74.0304
1,740.97	78.6028	1,740.97	74.3541	1,740.97	67.0336	1,740.97	73.8616
1,802.49	79.5595	1,802.49	74.9993	1,802.49	67.9966	1,802.49	74.7245
1,866.21	79.9695	1,866.21	75.3327	1,866.21	67.9087	1,866.21	75.0587
1,932.13	79.7798	1,932.13	75.2708	1,932.13	67.5952	1,932.13	74.8948
2,000.24	80.5313	2,000.24	75.8442	2,000.24	68.0934	2,000.24	75.5686
2,070.56	81.5868	2,070.56	76.5269	2,070.56	68.1232	2,070.56	76.4277
2,143.8	81.6362	2,143.8	76.3799	2,143.8	68.11	2,143.8	76.4174
2,219.24	81.2199	2,219.24	75.9344	2,219.24	67.7331	2,219.24	75.9961
2,297.61	82.0056	2,297.61	76.5535	2,297.61	68.327	2,297.61	76.7219
2,378.17	82.3897	2,378.17	77.131	2,378.17	68.1654	2,378.17	77.1196
2,462.4	81.892	2,462.4	76.3251	2,462.4	67.4876	2,462.4	76.5261
2,548.83	81.4086	2,548.83	75.7967	2,548.83	67.313	2,548.83	76.0519
2,638.92	80.7822	2,638.92	75.3106	2,638.92	66.4053	2,638.92	75.4437
2,731.93	80.2283	2,731.93	74.7261	2,731.93	66.0951	2,731.93	74.898
2,828.61	80.4306	2,828.61	74.6976	2,828.61	65.9268	2,828.61	75.0148
2,928.22	80.5161	2,928.22	74.8848	2,928.22	66.6222	2,928.22	75.1689
3,031.49	80.0116	3,031.49	74.4988	3,031.49	66.219	3,031.49	74.7031
3,138.43	80.1967	3,138.43	74.836	3,138.43	65.9997	3,138.43	74.9003
3,249.02	79.9673	3,249.02	75.1055	3,249.02	66.458	3,249.02	74.862
3,363.28	79.3353	3,363.28	75.1378	3,363.28	66.1059	3,363.28	74.4568
3,481.93	80.0251	3,481.93	76.0746	3,481.93	66.5576	3,481.93	75.2109
3,604.98	80.3718	3,604.98	76.5833	3,604.98	66.4	3,604.98	75.5792
3,732.42	80.868	3,732.42	76.7184	3,732.42	66.3291	3,732.42	75.9174
3,863.53	81.523	3,863.53	76.8655	3,863.53	66.0216	3,863.53	76.3569
3,999.76	81.5722	3,999.76	76.6268	3,999.76	65.7081	3,999.76	76.3009
4,141.11	81.4565	4,141.11	76.2908	4,141.11	65.0379	4,141.11	76.096
4,286.87	81.4513	4,286.87	76.2374	4,286.87	65.155	4,286.87	76.082
4,438.48	81.0903	4,438.48	76.0435	4,438.48	64.5171	4,438.48	75.7584
4,594.48	81.0518	4,594.48	75.641	4,594.48	64.4089	4,594.48	75.6123
4,757.08	80.8367	4,757.08	75.627	4,757.08	64.31	4,757.08	75.459
4,924.8	80.7101	4,924.8	75.3077	4,924.8	64.2059	4,924.8	75.2786
5,098.39	80.398	5,098.39	75.4197	5,098.39	64.2658	5,098.39	75.1049
5,277.83	80.2589	5,277.83	75.6257	5,277.83	63.9692	5,277.83	75.0651
5,463.87	81.3871	5,463.87	76.4393	5,463.87	65.0217	5,463.87	76.0932
5,656.49	81.5264	5,656.49	76.9498	5,656.49	65.1191	5,656.49	76.3459
5,856.45	81.6624	5,856.45	77.3093	5,856.45	65.2217	5,856.45	76.5531
6,062.99	81.6704	6,062.99	77.0208	6,062.99	64.2311	6,062.99	76.4297
