"Vertical Reflections"					
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
901.611	86.3476	901.611	85.1089	901.611	85.7723
933.105	86.542	933.105	84.4044	933.105	85.6034
966.064	87.0199	966.064	84.0857	966.064	85.796
999.756	87.0418	999.756	84.8738	999.756	86.0917
1,034.91	86.9921	1,034.91	84.9694	1,034.91	86.0975
1,071.53	87.3455	1,071.53	84.7999	1,071.53	86.2566
1,109.62	86.667	1,109.62	84.3464	1,109.62	85.6599
1,148.44	87.0392	1,148.44	83.8421	1,148.44	85.7285
1,189.45	87.0424	1,189.45	83.2213	1,189.45	85.5392
1,231.2	87.0652	1,231.2	83.7778	1,231.2	85.7254
1,274.41	87.2154	1,274.41	83.354	1,274.41	85.7005
1,319.82	87.5703	1,319.82	84.2555	1,319.82	86.2217
1,365.97	87.6575	1,365.97	84.2915	1,365.97	86.2927
1,414.31	87.6692	1,414.31	83.5871	1,414.31	86.0911
1,464.11	87.0661	1,464.11	83.6352	1,464.11	85.681
1,515.38	86.5325	1,515.38	84.4231	1,515.38	85.6046
1,568.85	86.3339	1,568.85	83.949	1,568.85	85.3032
1,624.51	86.0818	1,624.51	83.2695	1,624.51	84.8994
1,681.64	86.3173	1,681.64	82.8308	1,681.64	84.9149
1,740.97	86.4906	1,740.97	82.6801	1,740.97	84.9905
1,802.49	86.0292	1,802.49	82.0667	1,802.49	84.485
1,866.21	85.8822	1,866.21	82.348	1,866.21	84.4651
1,932.13	84.9182	1,932.13	82.0842	1,932.13	83.7284
2,000.24	84.7318	2,000.24	81.0565	2,000.24	83.2718
2,070.56	84.9414	2,070.56	79.9892	2,070.56	83.136
2,143.8	84.5331	2,143.8	78.5974	2,143.8	82.509
2,219.24	84.3271	2,219.24	77.0791	2,219.24	82.0666
2,297.61	84.8745	2,297.61	74.385	2,297.61	82.2358
2,378.17	85.5057	2,378.17	72.7535	2,378.17	82.7199
2,462.4	85.4737	2,462.4	74.088	2,462.4	82.7681
2,548.83	84.321	2,548.83	73.9999	2,548.83	81.6964
2,638.92	83.0556	2,638.92	75.4262	2,638.92	80.7369
2,731.93	82.0857	2,731.93	77.7458	2,731.93	80.4367
2,828.61	81.8129	2,828.61	78.8623	2,828.61	80.5835
2,928.22	81.9728	2,928.22	80.1266	2,928.22	81.1471
3,031.49	82.8946	3,031.49	80.3079	3,031.49	81.791
3,138.43	83.5584	3,138.43	80.0584	3,138.43	82.1519
3,249.02	83.6962	3,249.02	80.7095	3,249.02	82.4547
3,363.28	83.8214	3,363.28	81.4849	3,363.28	82.8084
3,481.93	83.8131	3,481.93	82.5629	3,481.93	83.2328
3,604.98	84.1119	3,604.98	83.1589	3,604.98	83.6615
3,732.42	83.9588	3,732.42	82.9655	3,732.42	83.4905
3,863.53	83.8646	3,863.53	82.9936	3,863.53	83.4509
3,999.76	83.4578	3,999.76	82.7106	3,999.76	83.1002
4,141.11	83.7023	4,141.11	82.7025	4,141.11	83.2311
4,286.87	83.4805	4,286.87	82.3601	4,286.87	82.9563
4,438.48	83.5108	4,438.48	82.2493	4,438.48	82.9257
4,594.48	83.6733	4,594.48	82.3344	4,594.48	83.0552
4,757.08	83.6505	4,757.08	82.2506	4,757.08	83.0067
4,924.8	84.0614	4,924.8	81.8781	4,924.8	83.1055
5,098.39	83.6498	5,098.39	81.4557	5,098.39	82.6899
5,277.83	83.5673	5,277.83	80.7369	5,277.83	82.3787
5,463.87	83.1742	5,463.87	80.6015	5,463.87	82.0756
5,656.49	83.0205	5,656.49	80.7589	5,656.49	82.0353
5,856.45	82.4995	5,856.45	81.2032	5,856.45	81.8995
6,062.99	82.3083	6,062.99	81.6125	6,062.99	81.9743
6,276.86	82.2248	6,276.86	81.4072	6,276.86	81.8353
6,498.05	82.1472	6,498.05	81.0176	6,498.05	81.619
6,727.29	82.4818	6,727.29	80.5793	6,727.29	81.6339
6,964.6	82.6233	6,964.6	79.9942	6,964.6	81.5047
7,209.96	82.6744	7,209.96	79.9447	7,209.96	81.5206
7,464.11	82.7204	7,464.11	79.5332	7,464.11	81.4129
7,727.78	82.6936	7,727.78	79.3497	7,727.78	81.3358
8,000.24	82.583	8,000.24	79.2509	8,000.24	81.2289
8,282.23	82.1754	8,282.23	78.9844	8,282.23	80.8666
8,574.46	82.0484	8,574.46	78.2924	8,574.46	80.5644
8,876.22	82.6091	8,876.22	77.5328	8,876.22	80.7739
9,189.7	82.6928	9,189.7	76.3453	9,189.7	80.5882
9,513.43	82.3759	9,513.43	76.1515	9,513.43	80.2947
9,848.88	82.0168	9,848.88	76.0382	9,848.88	79.984
10,196.8	81.4466	10,196.8	76.1808	10,196.8	79.5672
10,556.4	80.9612	10,556.4	75.1008	10,556.4	78.9525
10,928.5	80.5887	10,928.5	74.3192	10,928.5	78.4988
11,313.7	80.184	11,313.7	73.5756	11,313.7	78.0314
11,712.9	79.4056	11,712.9	73.2587	11,712.9	77.3394
12,126	78.8222	12,126	73.6763	12,126	76.9706
12,553.7	78.9546	12,553.7	74.6025	12,553.7	77.3023
12,996.1	79.6668	12,996.1	75.3326	12,996.1	78.0193
13,454.6	79.9339	13,454.6	75.4363	13,454.6	78.243
13,928.5	80.0483	13,928.5	74.8399	13,928.5	78.1822
14,419.9	79.7871	14,419.9	74.3338	14,419.9	77.8655
14,928.2	80.0957	14,928.2	74.8786	14,928.2	78.2276
15,454.8	80.5291	15,454.8	74.7569	15,454.8	78.5387
15,999.8	80.0306	15,999.8	73.5795	15,999.8	77.9067
16,564.5	81.0765	16,564.5	73.6098	16,564.5	78.7821
17,148.2	80.8831	17,148.2	72.768	17,148.2	78.4961
17,753.2	80.203	17,753.2	70.5117	17,753.2	77.6357
18,379.4	79.5707	18,379.4	68.4401	18,379.4	76.8829
19,027.6	78.2012	19,027.6	66.2767	19,027.6	75.4611
19,698.5	76.3419	19,698.5	63.2889	19,698.5	73.5415
19,999.5	75.4608	19,999.5	61.0364	19,999.5	72.6046
