"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
85.6934	87.0759	85.6934	87.0461	85.6934	86.8385	85.6934	86.6375	85.6934	40.388	85.6934	40.1871	85.6934	39.9794
88.623	87.3792	88.623	87.3475	88.623	87.1298	88.623	86.9212	88.623	40.4057	88.623	40.197	88.623	39.9794
91.5527	87.606	91.5527	87.572	91.5527	87.3412	91.5527	87.1194	91.5527	40.4319	91.5527	40.2102	91.5527	39.9794
94.4824	87.8001	94.4824	87.763	94.4824	87.5132	94.4824	87.2673	94.4824	40.4752	94.4824	40.2292	94.4824	39.9794
98.1445	88.0084	98.1445	87.9699	98.1445	87.7111	98.1445	87.4518	98.1445	40.4976	98.1445	40.2382	98.1445	39.9794
101.807	88.1199	101.807	88.0778	101.807	87.8017	101.807	87.5302	101.807	40.527	101.807	40.2555	101.807	39.9794
105.469	88.2991	105.469	88.255	105.469	87.9645	105.469	87.6705	105.469	40.5639	105.469	40.2699	105.469	39.9794
109.131	88.4939	109.131	88.4474	109.131	88.1459	109.131	87.8465	109.131	40.5803	109.131	40.2809	109.131	39.9794
112.793	88.7063	112.793	88.6535	112.793	88.3137	112.793	87.965	112.793	40.668	112.793	40.3192	112.793	39.9794
116.455	88.8866	116.455	88.8305	116.455	88.4708	116.455	88.0937	116.455	40.7162	116.455	40.3391	116.455	39.9794
120.85	89.0084	120.85	88.9503	120.85	88.5727	120.85	88.1621	120.85	40.7676	120.85	40.357	120.85	39.9794
125.244	89.0592	125.244	88.9998	125.244	88.6189	125.244	88.2183	125.244	40.7608	125.244	40.3603	125.244	39.9794
129.639	89.0142	129.639	88.9492	129.639	88.5399	129.639	88.1165	129.639	40.8121	129.639	40.3887	129.639	39.9794
134.033	88.9943	134.033	88.9257	134.033	88.5	134.033	88.0714	134.033	40.8336	134.033	40.4051	134.033	39.9794
138.428	88.9824	138.428	88.9098	138.428	88.4614	138.428	88.0128	138.428	40.8764	138.428	40.4278	138.428	39.9794
143.555	88.9708	143.555	88.894	143.555	88.4206	143.555	87.9492	143.555	40.9242	143.555	40.4529	143.555	39.9794
148.682	89.0247	148.682	88.9358	148.682	88.3892	148.682	87.8466	148.682	41.0685	148.682	40.526	148.682	39.9794
153.809	88.9449	153.809	88.8486	153.809	88.2493	153.809	87.6246	153.809	41.2034	153.809	40.5787	153.809	39.9794
159.668	89.0665	159.668	88.9683	159.668	88.3522	159.668	87.7045	159.668	41.2432	159.668	40.5955	159.668	39.9794
164.795	89.1863	164.795	89.0871	164.795	88.4601	164.795	87.7797	164.795	41.2868	164.795	40.6064	164.795	39.9794
170.654	89.1808	170.654	89.0799	170.654	88.4477	170.654	87.7703	170.654	41.289	170.654	40.6116	170.654	39.9794
176.514	89.0258	176.514	88.9209	176.514	88.2637	176.514	87.56	176.514	41.3403	176.514	40.6365	176.514	39.9794
183.105	88.8677	183.105	88.7556	183.105	88.055	183.105	87.3081	183.105	41.4269	183.105	40.68	183.105	39.9794
189.697	89	189.697	88.8783	189.697	88.1214	189.697	87.2808	189.697	41.5769	189.697	40.7363	189.697	39.9794
196.289	89.0695	196.289	88.9394	196.289	88.167	196.289	87.3724	196.289	41.5464	196.289	40.7518	196.289	39.9794
202.881	88.8813	202.881	88.7466	202.881	87.9377	202.881	87.1089	202.881	41.6172	202.881	40.7884	202.881	39.9794
210.205	88.7349	210.205	88.5913	210.205	87.7018	210.205	86.7497	210.205	41.821	210.205	40.8688	210.205	39.9794
217.529	88.821	217.529	88.6714	217.529	87.7388	217.529	86.7397	217.529	41.9112	217.529	40.9121	217.529	39.9794
225.586	89.1365	225.586	88.9661	225.586	87.8956	225.586	86.7599	225.586	42.1856	225.586	41.0499	225.586	39.9794
232.91	89.5094	232.91	89.3521	232.91	88.2569	232.91	86.7931	232.91	42.5383	232.91	41.0746	232.91	39.9794
241.699	89.0706	241.699	88.9248	241.699	87.9189	241.699	86.599	241.699	42.3053	241.699	40.9853	241.699	39.9794
249.756	89.3535	249.756	89.1967	249.756	88.092	249.756	86.6538	249.756	42.5224	249.756	41.0841	249.756	39.9794
258.545	89.2266	258.545	89.0852	258.545	88.0761	258.545	86.7351	258.545	42.3295	258.545	40.9886	258.545	39.9794
268.066	88.8258	268.066	88.6713	268.066	87.574	268.066	86.2172	268.066	42.4335	268.066	41.0767	268.066	39.9794
277.588	89.1522	277.588	88.9918	277.588	87.8573	277.588	86.3846	277.588	42.5866	277.588	41.1139	277.588	39.9794
287.109	89.0269	287.109	88.8629	287.109	87.7104	287.109	86.1422	287.109	42.7001	287.109	41.132	287.109	39.9794
297.363	89.5481	297.363	89.3843	297.363	88.1101	297.363	86.1407	297.363	43.2229	297.363	41.2536	297.363	39.9794
307.617	89.4381	307.617	89.3219	307.617	88.3103	307.617	86.5485	307.617	42.7528	307.617	40.991	307.617	39.9794
318.604	89.7517	318.604	89.5927	318.604	88.4108	318.604	86.4557	318.604	43.1164	318.604	41.1613	318.604	39.9794
329.59	89.6001	329.59	89.4763	329.59	88.4346	329.59	86.5168	329.59	42.939	329.59	41.0212	329.59	39.9794
341.309	88.9126	341.309	88.7555	341.309	87.6815	341.309	86.1694	341.309	42.5655	341.309	41.0534	341.309	39.9794
353.76	89.3013	353.76	89.1845	353.76	88.089	353.76	86.1022	353.76	43.0617	353.76	41.0749	353.76	39.9794
366.211	88.9083	366.211	88.7808	366.211	87.7521	366.211	85.8002	366.211	42.9601	366.211	41.0081	366.211	39.9794
378.662	89.043	378.662	88.9281	378.662	87.9375	378.662	85.9415	378.662	42.9659	378.662	40.97	378.662	39.9794
392.578	87.8113	392.578	87.6949	392.578	86.8543	392.578	85.0082	392.578	42.6661	392.578	40.8199	392.578	39.9794
405.762	87.7742	405.762	87.583	405.762	86.4766	405.762	84.5596	405.762	43.0029	405.762	41.0858	405.762	39.9794
420.41	87.9163	420.41	87.7386	420.41	86.5597	420.41	84.3009	420.41	43.4172	420.41	41.1583	420.41	39.9794
435.059	87.6978	435.059	87.5286	435.059	86.5311	435.059	84.5139	435.059	42.9941	435.059	40.977	435.059	39.9794
450.439	87.5187	450.439	87.279	450.439	86.0193	450.439	83.6836	450.439	43.5748	450.439	41.239	450.439	39.9794
466.553	87.2504	466.553	86.9958	466.553	85.6549	466.553	83.4491	466.553	43.5261	466.553	41.3203	466.553	39.9794
482.666	87.3531	482.666	87.0943	482.666	85.7351	482.666	83.3866	482.666	43.6871	482.666	41.3386	482.666	39.9794
500.244	87.1583	500.244	86.8542	500.244	85.3911	500.244	83.0126	500.244	43.821	500.244	41.4425	500.244	39.9794
517.822	86.7152	517.822	86.431	517.822	85.0888	517.822	82.7164	517.822	43.694	517.822	41.3216	517.822	39.9794
536.133	86.9016	536.133	86.5106	536.133	84.6847	536.133	82.0939	536.133	44.3961	536.133	41.8053	536.133	39.9794
554.443	86.5116	554.443	86.2144	554.443	84.5079	554.443	81.8417	554.443	44.3521	554.443	41.6859	554.443	39.9794
574.219	87.2278	574.219	86.8394	574.219	84.9945	574.219	82.1568	574.219	44.662	574.219	41.8243	574.219	39.9794
594.727	87.0428	594.727	86.6521	594.727	84.7162	594.727	81.9841	594.727	44.6473	594.727	41.9153	594.727	39.9794
615.234	86.9793	615.234	86.64	615.234	84.5749	615.234	81.5412	615.234	45.0782	615.234	42.0445	615.234	39.9794
637.207	87.9963	637.207	87.5525	637.207	85.3535	637.207	82.5007	637.207	45.0313	637.207	42.1784	637.207	39.9794
659.912	87.6014	659.912	87.2243	659.912	85.012	659.912	81.959	659.912	45.2447	659.912	42.1917	659.912	39.9794
683.35	87.8258	683.35	87.4575	683.35	85.2493	683.35	82.4594	683.35	44.9775	683.35	42.1876	683.35	39.9794
706.787	88.4659	706.787	88.0313	706.787	85.6879	706.787	82.6969	706.787	45.3138	706.787	42.3228	706.787	39.9794
731.689	88.1109	731.689	87.7721	731.689	85.4817	731.689	82.4378	731.689	45.3138	731.689	42.2699	731.689	39.9794
758.057	87.8275	758.057	87.4407	758.057	85.159	758.057	82.3063	758.057	45.1139	758.057	42.2611	758.057	39.9794
784.424	87.8829	784.424	87.5302	784.424	85.2468	784.424	82.3424	784.424	45.1672	784.424	42.2628	784.424	39.9794
812.256	88.0036	812.256	87.6105	812.256	85.2873	812.256	82.4812	812.256	45.1087	812.256	42.3026	812.256	39.9794
840.82	87.8521	840.82	87.443	840.82	85.1208	840.82	82.2914	840.82	45.131	840.82	42.3017	840.82	39.9794
870.85	87.6184	870.85	87.1835	870.85	84.9234	870.85	82.1157	870.85	45.0472	870.85	42.2395	870.85	39.9794
901.611	88.1879	901.611	87.7638	901.611	85.3038	901.611	82.1479	901.611	45.5953	901.611	42.4394	901.611	39.9794
933.105	88.2262	933.105	87.7423	933.105	85.218	933.105	81.9239	933.105	45.7978	933.105	42.5037	933.105	39.9794
966.064	88.1853	966.064	87.7165	966.064	85.2049	966.064	81.9621	966.064	45.7337	966.064	42.491	966.064	39.9794
999.756	88.2859	999.756	87.7289	999.756	85.1346	999.756	81.8466	999.756	45.8616	999.756	42.5736	999.756	39.9794
1,034.91	88.0862	1,034.91	87.5165	1,034.91	84.927	1,034.91	81.7672	1,034.91	45.7286	1,034.91	42.5689	1,034.91	39.9794
1,071.53	87.2562	1,071.53	86.7496	1,071.53	84.5444	1,071.53	81.4677	1,071.53	45.2613	1,071.53	42.1846	1,071.53	39.9794
1,109.62	86.9415	1,109.62	86.2963	1,109.62	83.9066	1,109.62	80.8288	1,109.62	45.4469	1,109.62	42.3691	1,109.62	39.9794
1,148.44	86.9136	1,148.44	86.2773	1,148.44	84.0058	1,148.44	80.6956	1,148.44	45.5611	1,148.44	42.251	1,148.44	39.9794
1,189.45	87.1411	1,189.45	86.5172	1,189.45	84.0744	1,189.45	80.662	1,189.45	45.8346	1,189.45	42.4222	1,189.45	39.9794
1,231.2	87.5839	1,231.2	86.993	1,231.2	84.4476	1,231.2	80.8704	1,231.2	46.1019	1,231.2	42.5247	1,231.2	39.9794
1,274.41	87.8067	1,274.41	87.1305	1,274.41	84.5217	1,274.41	80.8764	1,274.41	46.2335	1,274.41	42.5882	1,274.41	39.9794
1,319.82	88.0353	1,319.82	87.3392	1,319.82	84.7934	1,319.82	81.2814	1,319.82	46.0371	1,319.82	42.5252	1,319.82	39.9794
1,365.97	87.8642	1,365.97	87.1553	1,365.97	84.5085	1,365.97	81.0691	1,365.97	46.0656	1,365.97	42.6261	1,365.97	39.9794
