"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
112.793	89.0159	112.793	87.5524	112.793	88.6429	112.793	88.2026	112.793	87.787	112.793	88.3137
116.455	89.1782	116.455	87.7189	116.455	88.8192	116.455	88.3496	116.455	87.9098	116.455	88.4708
120.85	89.3052	120.85	87.8316	120.85	88.9384	120.85	88.4443	120.85	87.9441	120.85	88.5727
125.244	89.376	125.244	87.8404	125.244	88.9875	125.244	88.4853	125.244	88.0036	125.244	88.6189
129.639	89.3029	129.639	87.7811	129.639	88.9358	129.639	88.3875	129.639	87.8873	129.639	88.5399
134.033	89.2895	134.033	87.7135	134.033	88.9116	134.033	88.3349	134.033	87.8384	134.033	88.5
138.428	89.2825	138.428	87.6419	138.428	88.8949	138.428	88.2834	138.428	87.7697	138.428	88.4614
143.555	89.2913	143.555	87.5385	143.555	88.8782	143.555	88.2305	143.555	87.6901	143.555	88.4206
148.682	89.3103	148.682	87.4731	148.682	88.9178	148.682	88.1617	148.682	87.5379	148.682	88.3892
153.809	89.1942	153.809	87.3463	153.809	88.8292	153.809	87.9986	153.809	87.2714	153.809	88.2493
159.668	89.3175	159.668	87.4297	159.668	88.9485	159.668	88.0933	159.668	87.3391	159.668	88.3522
164.795	89.404	164.795	87.5807	164.795	89.0673	164.795	88.1973	164.795	87.4146	164.795	88.4601
170.654	89.4176	170.654	87.5526	170.654	89.0595	170.654	88.1726	170.654	87.4113	170.654	88.4477
176.514	89.2401	176.514	87.3869	176.514	88.8997	176.514	87.9735	176.514	87.1745	176.514	88.2637
183.105	89.1051	183.105	87.0953	183.105	88.733	183.105	87.7429	183.105	86.872	183.105	88.055
189.697	89.1369	189.697	87.2202	189.697	88.8544	189.697	87.7885	189.697	86.8192	189.697	88.1214
196.289	89.1591	196.289	87.4035	196.289	88.9131	196.289	87.7801	196.289	86.9253	196.289	88.167
202.881	88.9953	202.881	87.0892	202.881	88.7198	202.881	87.5239	202.881	86.6545	202.881	87.9377
210.205	88.9112	210.205	86.6388	210.205	88.5627	210.205	87.2462	210.205	86.2538	210.205	87.7018
217.529	89.0339	217.529	86.5191	217.529	88.6417	217.529	87.2688	217.529	86.1898	217.529	87.7388
225.586	89.2651	225.586	86.6041	225.586	88.9328	225.586	87.316	225.586	86.1796	225.586	87.8956
232.91	89.5932	232.91	87.1172	232.91	89.3216	232.91	87.7397	232.91	86.0128	232.91	88.2569
241.699	89.3289	241.699	86.8305	241.699	88.8947	241.699	87.436	241.699	85.7083	241.699	87.9189
249.756	89.6232	249.756	86.6372	249.756	89.1662	249.756	87.5955	249.756	85.6294	249.756	88.092
258.545	89.3909	258.545	86.8499	258.545	89.0587	258.545	87.6545	258.545	85.9178	258.545	88.0761
268.066	89.0878	268.066	86.0208	268.066	88.6421	268.066	87.0796	268.066	85.2958	268.066	87.574
277.588	88.971	277.588	86.6425	277.588	88.9654	277.588	87.3984	277.588	85.6947	277.588	87.8573
287.109	88.9107	287.109	86.5267	287.109	88.8341	287.109	87.1816	287.109	85.5866	287.109	87.7104
297.363	89.5491	297.363	86.827	297.363	89.3552	297.363	87.5545	297.363	84.9989	297.363	88.1101
307.617	89.1957	307.617	87.4767	307.617	89.3049	307.617	88.0035	307.617	85.9096	307.617	88.3103
318.604	89.4463	318.604	87.7796	318.604	89.5647	318.604	87.9259	318.604	85.4692	318.604	88.4108
329.59	89.1738	329.59	88.0789	329.59	89.4572	329.59	88.1033	329.59	85.5808	329.59	88.4346
341.309	88.4902	341.309	87.3841	341.309	88.7276	341.309	87.1659	341.309	85.4572	341.309	87.6815
353.76	89.0883	353.76	87.4059	353.76	89.1668	353.76	87.714	353.76	85.1252	353.76	88.089
366.211	88.6444	366.211	86.8697	366.211	88.764	366.211	87.486	366.211	85.0897	366.211	87.7521
378.662	88.9237	378.662	86.9765	378.662	88.9128	378.662	87.6941	378.662	85.2429	378.662	87.9375
392.578	87.5447	392.578	85.6768	392.578	87.6828	392.578	86.7821	392.578	84.8459	392.578	86.8543
405.762	87.4393	405.762	85.0961	405.762	87.554	405.762	86.1436	405.762	84.3533	405.762	86.4766
420.41	87.6127	420.41	85.1122	420.41	87.7117	420.41	86.2629	420.41	83.7238	420.41	86.5597
435.059	87.3245	435.059	85.6154	435.059	87.502	435.059	86.2883	435.059	84.2126	435.059	86.5311
450.439	87.001	450.439	84.5418	450.439	87.2445	450.439	85.6479	450.439	83.4035	450.439	86.0193
466.553	86.7682	466.553	83.909	466.553	86.9571	466.553	85.2152	466.553	83.0096	466.553	85.6549
482.666	86.7372	482.666	84.2047	482.666	87.0559	482.666	85.2842	482.666	83.0326	482.666	85.7351
500.244	86.5084	500.244	83.5682	500.244	86.8014	500.244	84.8773	500.244	82.6011	500.244	85.3911
517.822	85.8355	517.822	83.499	517.822	86.3872	517.822	84.7218	517.822	82.6919	517.822	85.0888
536.133	85.6746	536.133	82.9065	536.133	86.4473	536.133	83.788	536.133	81.9582	536.133	84.6847
