"Directivity Index"			
"Sound Power DI"		"Early Reflections DI"	
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
4,286.87	7.49814	4,286.87	3.20538
4,438.48	7.56122	4,438.48	3.25739
4,594.48	8.11617	4,594.48	3.49619
4,757.08	8.35617	4,757.08	3.57806
4,924.8	8.50709	4,924.8	3.6473
5,098.39	8.72051	5,098.39	3.77242
5,277.83	8.54245	5,277.83	3.73119
5,463.87	8.63096	5,463.87	3.72552
5,656.49	8.44128	5,656.49	3.59847
5,856.45	8.37877	5,856.45	3.55023
6,062.99	8.54246	6,062.99	3.63805
6,276.86	8.74151	6,276.86	3.72483
6,498.05	8.61386	6,498.05	3.71066
6,727.29	8.82169	6,727.29	3.78985
6,964.6	8.96228	6,964.6	3.8642
7,209.96	8.94234	7,209.96	3.8256
7,464.11	8.64825	7,464.11	3.67477
7,727.78	8.41997	7,727.78	3.61194
8,000.24	8.49829	8,000.24	3.74187
8,282.23	8.86876	8,282.23	3.90953
8,574.46	9.16817	8,574.46	4.03208
8,876.22	9.19611	8,876.22	4.03536
9,189.7	9.13921	9,189.7	4.02335
9,513.43	9.06485	9,513.43	4.01079
9,848.88	9.30063	9,848.88	4.22105
10,196.8	9.63413	10,196.8	4.40606
10,556.4	9.90934	10,556.4	4.46491
10,928.5	10.1351	10,928.5	4.48997
11,313.7	10.1261	11,313.7	4.54242
11,712.9	9.92129	11,712.9	4.69621
12,126	9.93785	12,126	4.75348
12,553.7	9.87724	12,553.7	4.49559
12,996.1	9.36418	12,996.1	4.13279
13,454.6	8.41127	13,454.6	3.64502
13,928.5	7.17649	13,928.5	2.86144
14,419.9	6.34766	14,419.9	2.30642
14,928.2	6.48008	14,928.2	2.40271
15,454.8	6.99443	15,454.8	2.82234
15,999.8	7.36138	15,999.8	3.12643
16,564.5	7.47671	16,564.5	3.20286
17,148.2	7.91471	17,148.2	3.40717
17,753.2	8.46446	17,753.2	3.73573
18,379.4	8.50036	18,379.4	3.7617
19,027.6	8.62239	19,027.6	3.83764
19,698.5	9.43591	19,698.5	4.32889
19,999.5	9.89649	19,999.5	4.55091
