"Vertical Reflections"					
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
1,189.45	104.138	1,189.45	102.597	1,189.45	103.436
1,231.2	104.088	1,231.2	102.688	1,231.2	103.445
1,274.41	103.625	1,274.41	102.471	1,274.41	103.086
1,319.82	103.703	1,319.82	102.135	1,319.82	102.989
1,365.97	103.616	1,365.97	101.649	1,365.97	102.743
1,414.31	103.477	1,414.31	101.532	1,414.31	102.612
1,464.11	103.486	1,464.11	101.971	1,464.11	102.794
1,515.38	103.342	1,515.38	100.884	1,515.38	102.284
1,568.85	104.062	1,568.85	99.6893	1,568.85	102.404
1,624.51	103.448	1,624.51	96.9445	1,624.51	101.315
1,681.64	102.984	1,681.64	94.2019	1,681.64	100.514
1,740.97	103.367	1,740.97	89.431	1,740.97	100.529
1,802.49	102.407	1,802.49	86.2348	1,802.49	99.5002
1,866.21	102.412	1,866.21	90.7029	1,866.21	99.6853
1,932.13	102.659	1,932.13	94.1337	1,932.13	100.22
2,000.24	101.868	2,000.24	95.9873	2,000.24	99.8551
2,070.56	101.881	2,070.56	96.8663	2,070.56	100.061
2,143.8	102.349	2,143.8	97.1155	2,143.8	100.477
2,219.24	102.859	2,219.24	97.4043	2,219.24	100.937
2,297.61	102.483	2,297.61	97.9022	2,297.61	100.771
2,378.17	102.815	2,378.17	98.9011	2,378.17	101.285
2,462.4	102.981	2,462.4	99.2472	2,462.4	101.503
2,548.83	102.824	2,548.83	99.0628	2,548.83	101.339
2,638.92	102.797	2,638.92	100.293	2,638.92	101.723
2,731.93	102.883	2,731.93	100.716	2,731.93	101.934
2,828.61	103.042	2,828.61	101.13	2,828.61	102.191
2,928.22	103.217	2,928.22	100.836	2,928.22	102.187
3,031.49	103.336	3,031.49	100.625	3,031.49	102.189
3,138.43	103.712	3,138.43	100.127	3,138.43	102.279
3,249.02	104.04	3,249.02	99.0395	3,249.02	102.223
3,363.28	104.094	3,363.28	98.5246	3,363.28	102.147
3,481.93	103.917	3,481.93	98.1637	3,481.93	101.931
3,604.98	103.72	3,604.98	98.9013	3,604.98	101.947
3,732.42	103.538	3,732.42	99.344	3,732.42	101.929
3,863.53	103.049	3,863.53	99.8249	3,863.53	101.73
3,999.76	102.548	3,999.76	99.6053	3,999.76	101.321
4,141.11	102.429	4,141.11	99.2416	4,141.11	101.121
4,286.87	102.654	4,286.87	98.7104	4,286.87	101.115
4,438.48	102.716	4,438.48	98.1288	4,438.48	101.002
4,594.48	102.66	4,594.48	98.1258	4,594.48	100.959
4,757.08	103.1	4,757.08	97.9027	4,757.08	101.236
4,924.8	103.233	4,924.8	97.8146	4,924.8	101.319
5,098.39	102.951	5,098.39	97.1663	5,098.39	100.958
5,277.83	102.927	5,277.83	96.044	5,277.83	100.727
5,463.87	102.635	5,463.87	94.9698	5,463.87	100.311
5,656.49	102.342	5,656.49	94.9381	5,656.49	100.057
5,856.45	101.813	5,856.45	95.6249	5,856.45	99.739
6,062.99	101.618	6,062.99	95.5065	6,062.99	99.5588
6,276.86	101.734	6,276.86	95.161	6,276.86	99.5878
6,498.05	101.752	6,498.05	95.0108	6,498.05	99.576
6,727.29	101.94	6,727.29	95.4755	6,727.29	99.8134
6,964.6	102.042	6,964.6	96.5109	6,964.6	100.103
7,209.96	102.103	7,209.96	96.6689	7,209.96	100.185
7,464.11	101.996	7,464.11	96.7357	7,464.11	100.118
7,727.78	101.605	7,727.78	96.8468	7,727.78	99.8472
8,000.24	100.978	8,000.24	96.964	8,000.24	99.4189
8,282.23	100.394	8,282.23	97.3282	8,282.23	99.1261
8,574.46	100.602	8,574.46	96.8488	8,574.46	99.1191
8,876.22	101.129	8,876.22	96.4964	8,876.22	99.4028
9,189.7	101.386	9,189.7	95.9902	9,189.7	99.4775
9,513.43	101.042	9,513.43	96.311	9,513.43	99.2913
9,848.88	100.58	9,848.88	96.6474	9,848.88	99.0444
10,196.8	100.438	10,196.8	96.8766	10,196.8	99.0124
10,556.4	100.81	10,556.4	96.3598	10,556.4	99.1316
10,928.5	101.103	10,928.5	95.9138	10,928.5	99.241
11,313.7	101.356	11,313.7	96.0732	11,313.7	99.4724
11,712.9	101.427	11,712.9	95.7237	11,712.9	99.4509
12,126	101.33	12,126	96.1423	12,126	99.4686
12,553.7	101.942	12,553.7	97.1038	12,553.7	100.165
12,996.1	102.564	12,996.1	97.4088	12,996.1	100.711
13,454.6	102.878	13,454.6	98.3069	13,454.6	101.168
13,928.5	103.264	13,928.5	98.6453	13,928.5	101.542
14,419.9	103.591	14,419.9	98.89	14,419.9	101.848
14,928.2	103.542	14,928.2	98.9483	14,928.2	101.826
15,454.8	103.59	15,454.8	97.7577	15,454.8	101.587
15,999.8	103.295	15,999.8	96.4293	15,999.8	101.097
16,564.5	103.004	16,564.5	94.688	16,564.5	100.591
17,148.2	102.811	17,148.2	93.506	17,148.2	100.282
17,753.2	102.838	17,753.2	91.6503	17,753.2	100.146
18,379.4	102.906	18,379.4	91.3838	18,379.4	100.191
19,027.6	101.969	19,027.6	91.183	19,027.6	99.3064
19,698.5	100.272	19,698.5	89.8361	19,698.5	97.6382
19,999.5	99.1604	19,999.5	88.7757	19,999.5	96.5304
