"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
88.623	103.307	88.623	103.29	88.623	103.168	88.623	103.067	88.623	60.2031	88.623	60.1013	88.623	59.9794
91.5527	103.314	91.5527	103.3	91.5527	103.199	91.5527	103.133	91.5527	60.1468	91.5527	60.0805	91.5527	59.9794
94.4824	103.085	94.4824	103.072	94.4824	102.984	94.4824	102.959	94.4824	60.0921	94.4824	60.067	94.4824	59.9794
98.1445	103.468	98.1445	103.448	98.1445	103.308	98.1445	103.196	98.1445	60.2315	98.1445	60.1192	98.1445	59.9794
101.807	103.565	101.807	103.546	101.807	103.409	101.807	103.301	101.807	60.2241	101.807	60.1163	101.807	59.9794
105.469	103.684	105.469	103.664	105.469	103.524	105.469	103.416	105.469	60.227	105.469	60.119	105.469	59.9794
109.131	103.859	109.131	103.837	109.131	103.694	109.131	103.584	109.131	60.2327	109.131	60.1227	109.131	59.9794
112.793	104.046	112.793	104.023	112.793	103.868	112.793	103.74	112.793	60.2629	112.793	60.1341	112.793	59.9794
116.455	104.179	116.455	104.156	116.455	104.006	116.455	103.89	116.455	60.2447	116.455	60.129	116.455	59.9794
120.85	104.415	120.85	104.388	120.85	104.214	120.85	104.063	120.85	60.3046	120.85	60.1536	120.85	59.9794
125.244	104.61	125.244	104.581	125.244	104.39	125.244	104.214	125.244	60.3457	125.244	60.1698	125.244	59.9794
129.639	104.759	129.639	104.73	129.639	104.546	129.639	104.381	129.639	60.3284	129.639	60.164	129.639	59.9794
134.033	104.732	134.033	104.705	134.033	104.54	134.033	104.41	134.033	60.2745	134.033	60.1449	134.033	59.9794
138.428	104.852	138.428	104.824	138.428	104.658	138.428	104.551	138.428	60.2519	138.428	60.1451	138.428	59.9794
143.555	105.104	143.555	105.069	143.555	104.86	143.555	104.702	143.555	60.3459	143.555	60.1883	143.555	59.9794
148.682	105.231	148.682	105.193	148.682	104.96	148.682	104.758	148.682	60.4145	148.682	60.2126	148.682	59.9794
153.809	105.329	153.809	105.29	153.809	105.058	153.809	104.861	153.809	60.4092	153.809	60.212	153.809	59.9794
159.668	105.478	159.668	105.436	159.668	105.188	159.668	104.981	159.668	60.435	159.668	60.2272	159.668	59.9794
164.795	105.713	164.795	105.667	164.795	105.381	164.795	105.103	164.795	60.5438	164.795	60.2656	164.795	59.9794
170.654	105.743	170.654	105.699	170.654	105.42	170.654	105.146	170.654	60.5321	170.654	60.2577	170.654	59.9794
176.514	105.687	176.514	105.642	176.514	105.375	176.514	105.143	176.514	60.478	176.514	60.2461	176.514	59.9794
183.105	105.7	183.105	105.651	183.105	105.366	183.105	105.127	183.105	60.5041	183.105	60.2653	183.105	59.9794
189.697	105.843	189.697	105.791	189.697	105.488	189.697	105.222	189.697	60.5477	189.697	60.2817	189.697	59.9794
196.289	105.908	196.289	105.85	196.289	105.522	196.289	105.238	196.289	60.5914	196.289	60.3082	196.289	59.9794
202.881	106.014	202.881	105.952	202.881	105.589	202.881	105.246	202.881	60.6859	202.881	60.3421	202.881	59.9794
210.205	106.064	210.205	105.999	210.205	105.619	210.205	105.255	210.205	60.7237	210.205	60.3598	210.205	59.9794
217.529	106.092	217.529	106.028	217.529	105.639	217.529	105.25	217.529	60.7574	217.529	60.3679	217.529	59.9794
225.586	106.199	225.586	106.13	225.586	105.713	225.586	105.283	225.586	60.826	225.586	60.3961	225.586	59.9794
232.91	106.38	232.91	106.308	232.91	105.858	232.91	105.364	232.91	60.9237	232.91	60.429	232.91	59.9794
241.699	106.203	241.699	106.133	241.699	105.698	241.699	105.217	241.699	60.8953	241.699	60.4138	241.699	59.9794
249.756	106.311	249.756	106.235	249.756	105.775	249.756	105.292	249.756	60.9222	249.756	60.4398	249.756	59.9794
258.545	106.236	258.545	106.164	258.545	105.759	258.545	105.396	258.545	60.7474	258.545	60.3852	258.545	59.9794
268.066	106.056	268.066	105.976	268.066	105.511	268.066	105.083	268.066	60.8718	268.066	60.4439	268.066	59.9794
277.588	106.067	277.588	105.979	277.588	105.533	277.588	105.19	277.588	60.7687	277.588	60.4253	277.588	59.9794
287.109	106.004	287.109	105.9	287.109	105.371	287.109	104.961	287.109	60.9191	287.109	60.5084	287.109	59.9794
297.363	106.049	297.363	105.937	297.363	105.327	297.363	104.793	297.363	61.1241	297.363	60.59	297.363	59.9794
307.617	105.849	307.617	105.738	307.617	105.124	307.617	104.615	307.617	61.1032	307.617	60.5935	307.617	59.9794
318.604	105.94	318.604	105.819	318.604	105.099	318.604	104.409	318.604	61.3898	318.604	60.6998	318.604	59.9794
329.59	105.979	329.59	105.863	329.59	105.138	329.59	104.388	329.59	61.4543	329.59	60.7038	329.59	59.9794
341.309	105.847	341.309	105.714	341.309	104.925	341.309	104.193	341.309	61.5003	341.309	60.7679	341.309	59.9794
353.76	106.033	353.76	105.9	353.76	105.044	353.76	104.102	353.76	61.7777	353.76	60.8358	353.76	59.9794
366.211	105.946	366.211	105.816	366.211	104.983	366.211	104.01	366.211	61.7853	366.211	60.8129	366.211	59.9794
378.662	106.036	378.662	105.893	378.662	104.997	378.662	104.004	378.662	61.8684	378.662	60.8758	378.662	59.9794
392.578	105.894	392.578	105.758	392.578	104.848	392.578	103.743	392.578	61.9941	392.578	60.8896	392.578	59.9794
405.762	106	405.762	105.854	405.762	104.898	405.762	103.76	405.762	62.0724	405.762	60.9351	405.762	59.9794
420.41	105.968	420.41	105.825	420.41	104.841	420.41	103.643	420.41	62.1613	420.41	60.9636	420.41	59.9794
435.059	105.714	435.059	105.566	435.059	104.568	435.059	103.41	435.059	62.1356	435.059	60.9773	435.059	59.9794
450.439	105.726	450.439	105.561	450.439	104.458	450.439	103.131	450.439	62.41	450.439	61.0829	450.439	59.9794
466.553	105.667	466.553	105.508	466.553	104.363	466.553	103.016	466.553	62.4722	466.553	61.125	466.553	59.9794
482.666	105.588	482.666	105.453	482.666	104.337	482.666	102.78	482.666	62.6528	482.666	61.0961	482.666	59.9794
500.244	105.746	500.244	105.595	500.244	104.39	500.244	102.765	500.244	62.8097	500.244	61.1846	500.244	59.9794
517.822	105.242	517.822	105.144	517.822	104.131	517.822	102.407	517.822	62.716	517.822	60.992	517.822	59.9794
536.133	105.312	536.133	105.19	536.133	104.104	536.133	102.221	536.133	62.9487	536.133	61.0656	536.133	59.9794
554.443	105.413	554.443	105.322	554.443	104.41	554.443	102.55	554.443	62.7512	554.443	60.8917	554.443	59.9794
574.219	105.139	574.219	105.013	574.219	104.069	574.219	102.487	574.219	62.5056	574.219	60.9229	574.219	59.9794
