"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
392.578	105.73	392.578	104.382	392.578	102.818	392.578	103.978
405.762	105.824	405.762	104.416	405.762	102.822	405.762	104.017
420.41	105.796	420.41	104.359	420.41	102.482	420.41	103.858
435.059	105.538	435.059	104.091	435.059	102.408	435.059	103.669
450.439	105.529	450.439	103.911	450.439	101.886	450.439	103.41
466.553	105.479	466.553	103.796	466.553	101.701	466.553	103.29
482.666	105.431	482.666	103.903	482.666	101.136	482.666	103.111
500.244	105.57	500.244	103.894	500.244	101.124	500.244	103.151
517.822	105.135	517.822	103.913	517.822	100.718	517.822	102.88
536.133	105.173	536.133	103.782	536.133	100.58	536.133	102.803
554.443	105.306	554.443	104.154	554.443	100.825	554.443	103.056
574.219	104.985	574.219	103.588	574.219	101.068	574.219	102.838
594.727	105.728	594.727	104.181	594.727	100.332	594.727	103.063
615.234	105.88	615.234	104.562	615.234	100.427	615.234	103.283
637.207	106.068	637.207	104.783	637.207	100.571	637.207	103.471
659.912	105.912	659.912	104.78	659.912	100.339	659.912	103.353
683.35	106.011	683.35	104.937	683.35	100.682	683.35	103.54
706.787	105.325	706.787	104.708	706.787	100.904	706.787	103.291
731.689	105.232	731.689	104.285	731.689	100.503	731.689	102.981
758.057	105.714	758.057	104.48	758.057	100.268	758.057	103.15
784.424	105.46	784.424	104.14	784.424	99.2832	784.424	102.676
812.256	105.139	812.256	104.243	812.256	99.2573	812.256	102.595
840.82	104.723	840.82	103.767	840.82	99.4795	840.82	102.321
870.85	104.99	870.85	103.698	870.85	99.9103	870.85	102.507
901.611	104.808	901.611	103.479	901.611	99.8261	901.611	102.341
933.105	105.381	933.105	103.45	933.105	100.142	933.105	102.628
966.064	105.363	966.064	102.629	966.064	99.9239	966.064	102.294
999.756	105.89	999.756	102.414	999.756	99.598	999.756	102.356
1,034.91	105.491	1,034.91	102.55	1,034.91	98.5794	1,034.91	101.955
1,071.53	105.074	1,071.53	102.273	1,071.53	97.8006	1,071.53	101.499
1,109.62	104.812	1,109.62	101.866	1,109.62	97.4694	1,109.62	101.174
1,148.44	104.941	1,148.44	102.048	1,148.44	97.2429	1,148.44	101.243
1,189.45	105.117	1,189.45	101.953	1,189.45	97.3529	1,189.45	101.317
1,231.2	105.303	1,231.2	101.819	1,231.2	96.9828	1,231.2	101.287
1,274.41	104.845	1,274.41	101.673	1,274.41	96.6019	1,274.41	100.945
1,319.82	104.825	1,319.82	101.651	1,319.82	96.4922	1,319.82	100.907
1,365.97	104.713	1,365.97	101.737	1,365.97	95.8144	1,365.97	100.76
1,414.31	104.332	1,414.31	101.633	1,414.31	95.4977	1,414.31	100.488
1,464.11	104.283	1,464.11	101.168	1,464.11	95.1635	1,464.11	100.245
1,515.38	104.322	1,515.38	100.881	1,515.38	94.6196	1,515.38	100.082
1,568.85	104.433	1,568.85	100.765	1,568.85	93.9924	1,568.85	100.014
1,624.51	104.079	1,624.51	100.163	1,624.51	92.6728	1,624.51	99.4616
1,681.64	103.137	1,681.64	99.8613	1,681.64	92.9653	1,681.64	98.8868
1,740.97	103.864	1,740.97	100.095	1,740.97	92.6508	1,740.97	99.3172
1,802.49	103.998	1,802.49	100.164	1,802.49	93.1276	1,802.49	99.4698
1,866.21	103.447	1,866.21	99.7175	1,866.21	91.9449	1,866.21	98.8811
1,932.13	103.031	1,932.13	99.016	1,932.13	91.2493	1,932.13	98.3412
2,000.24	104.14	2,000.24	99.5688	2,000.24	92.0292	2,000.24	99.2433
2,070.56	104.908	2,070.56	100.271	2,070.56	92.7089	2,070.56	99.9836
2,143.8	104.503	2,143.8	100.094	2,143.8	92.9116	2,143.8	99.7102
2,219.24	103.683	2,219.24	99.2643	2,219.24	91.9811	2,219.24	98.8753
2,297.61	104.952	2,297.61	100.242	2,297.61	91.8822	2,297.61	99.9267
2,378.17	105.844	2,378.17	100.884	2,378.17	92.2117	2,378.17	100.701
2,462.4	105.54	2,462.4	100.372	2,462.4	91.855	2,462.4	100.333
2,548.83	105.601	2,548.83	100.235	2,548.83	91.5974	2,548.83	100.317
2,638.92	105.837	2,638.92	100.434	2,638.92	91.2702	2,638.92	100.504
2,731.93	105.229	2,731.93	100.073	2,731.93	90.9554	2,731.93	99.9845
2,828.61	105.265	2,828.61	100.215	2,828.61	90.784	2,828.61	100.038
2,928.22	105.072	2,928.22	99.8834	2,928.22	90.5001	2,928.22	99.7989
3,031.49	104.513	3,031.49	99.2106	3,031.49	89.5041	3,031.49	99.1819
3,138.43	104.886	3,138.43	99.2543	3,138.43	88.9147	3,138.43	99.4151
3,249.02	105.265	3,249.02	99.189	3,249.02	88.9153	3,249.02	99.6619
3,363.28	104.918	3,363.28	98.815	3,363.28	88.9892	3,363.28	99.328
3,481.93	105.037	3,481.93	98.8735	3,481.93	88.81	3,481.93	99.4178
3,604.98	104.803	3,604.98	98.7671	3,604.98	88.5281	3,604.98	99.2133
3,732.42	104.33	3,732.42	98.524	3,732.42	88.1709	3,732.42	98.8042
3,863.53	104.039	3,863.53	98.1778	3,863.53	88.0597	3,863.53	98.5075
3,999.76	104.279	3,999.76	98.822	3,999.76	88.5226	3,999.76	98.8658
4,141.11	104.064	4,141.11	99.0021	4,141.11	88.5689	4,141.11	98.7759
4,286.87	105.125	4,286.87	100.093	4,286.87	88.7572	4,286.87	99.8062
4,438.48	105.321	4,438.48	100.343	4,438.48	89.1357	4,438.48	100.026
4,594.48	106.214	4,594.48	100.23	4,594.48	87.847	4,594.48	100.562
4,757.08	106.342	4,757.08	99.9726	4,757.08	86.9545	4,757.08	100.568
4,924.8	106.272	4,924.8	99.6586	4,924.8	87.2331	4,924.8	100.448
5,098.39	106.227	5,098.39	99.32	5,098.39	87.5498	5,098.39	100.347
5,277.83	105.274	5,277.83	98.9104	5,277.83	87.1673	5,277.83	99.5356
5,463.87	105.195	5,463.87	98.7206	5,463.87	86.6477	5,463.87	99.4169
5,656.49	104.398	5,656.49	98.1133	5,656.49	86.0717	5,656.49	98.6722
5,856.45	103.866	5,856.45	98.1314	5,856.45	85.7707	5,856.45	98.2878
6,062.99	104.271	6,062.99	98.5743	6,062.99	85.2301	6,062.99	98.6776
6,276.86	105.069	6,276.86	99.0564	6,276.86	85.0527	6,276.86	99.3709
6,498.05	104.924	6,498.05	99.1658	6,498.05	84.4981	6,498.05	99.2859
6,727.29	105.431	6,727.29	99.3111	6,727.29	83.6521	6,727.29	99.6766
6,964.6	105.739	6,964.6	99.1046	6,964.6	84.8375	6,964.6	99.8722
7,209.96	105.462	7,209.96	98.6456	7,209.96	84.3249	7,209.96	99.5497
7,464.11	104.676	7,464.11	98.1037	7,464.11	84.2062	7,464.11	98.8316
7,727.78	103.755	7,727.78	97.2265	7,727.78	83.0542	7,727.78	97.9168
8,000.24	103.599	8,000.24	96.9076	8,000.24	82.0176	8,000.24	97.709
8,282.23	105.063	8,282.23	98.213	8,282.23	82.4184	8,282.23	99.1233
8,574.46	106.281	8,574.46	99.3166	8,574.46	82.9803	8,574.46	100.309
8,876.22	106.372	8,876.22	99.2504	8,876.22	83.5376	8,876.22	100.37
9,189.7	105.627	9,189.7	98.2721	9,189.7	82.5997	9,189.7	99.5738
9,513.43	104.687	9,513.43	96.7717	9,513.43	80.8046	9,513.43	98.516
9,848.88	104.671	9,848.88	96.0549	9,848.88	78.8914	9,848.88	98.364
10,196.8	105.605	10,196.8	96.3463	10,196.8	78.9225	10,196.8	99.1946
10,556.4	106.306	10,556.4	96.6296	10,556.4	78.8927	10,556.4	99.834
10,928.5	106.543	10,928.5	96.1717	10,928.5	78.2175	10,928.5	99.9816
11,313.7	106.052	11,313.7	94.9197	11,313.7	76.0684	11,313.7	99.4042
11,712.9	104.915	11,712.9	92.6089	11,712.9	75.5517	11,712.9	98.1656
12,126	104.92	12,126	92.1501	12,126	75.505	12,126	98.1364
12,553.7	105.536	12,553.7	93.1106	12,553.7	77.0542	12,553.7	98.7802
12,996.1	105.745	12,996.1	95.3885	12,996.1	80.4397	12,996.1	99.2008
13,454.6	105.027	13,454.6	97.1934	13,454.6	80.8452	13,454.6	98.8688
13,928.5	103.689	13,928.5	97.5939	13,928.5	80.6488	13,928.5	97.9266
14,419.9	102.745	14,419.9	97.5038	14,419.9	79.5622	14,419.9	97.2175
14,928.2	102.994	14,928.2	97.9834	14,928.2	79.8066	14,928.2	97.5368
15,454.8	103.191	15,454.8	97.7428	15,454.8	79.3496	15,454.8	97.5979
15,999.8	102.783	15,999.8	96.8239	15,999.8	78.967	15,999.8	97.0494
16,564.5	102.158	16,564.5	95.6884	16,564.5	78.6358	16,564.5	96.2978
17,148.2	102.4	17,148.2	95.515	17,148.2	78.3817	17,148.2	96.439
17,753.2	102.916	17,753.2	95.969	17,753.2	78.598	17,753.2	96.939
18,379.4	102.206	18,379.4	95.1105	18,379.4	78.5283	18,379.4	96.2011
19,027.6	101.257	19,027.6	93.6343	19,027.6	77.8054	19,027.6	95.1464
19,698.5	101.368	19,698.5	93.1101	19,698.5	77.6294	19,698.5	95.1368
19,999.5	101.258	19,999.5	92.4566	19,999.5	77.3923	19,999.5	94.9357
